R,HF,FCI,CISD
1.787878787878788,-142.89990991809933,-143.1750806585403,-143.13822860525158
1.8080808080808082,-142.8867178219256,-143.17285482669234,-143.12979972169794
1.8282828282828283,-142.8736672062581,-143.17069516256234,-143.12160515978675
1.8484848484848486,-142.86077173134728,-143.16861814958693,-143.11369334700734
1.8686868686868687,-142.8480442335354,-143.1666371452039,-143.10612032604269
1.8888888888888888,-142.83549670981745,-143.1647623830898,-143.0989502288362
1.9090909090909092,-142.8231403001481,-143.16300104561617,-143.09225391428805
1.9292929292929295,-142.81098527028303,-143.16135741397704,-143.08610413679156
1.9494949494949496,-142.799040997314,-143.15983309475746,-143.0805660727304
1.9696969696969697,-142.7873159594895,-143.1635254999952,-143.0756838103353
1.98989898989899,-142.7758177314001,-143.15713727030348,-143.07565268355418
2.0101010101010104,-142.7645529851807,-143.1559585037969,-143.0780076990087
2.0303030303030303,-142.75352749800066,-143.1548852966103,-143.08014877852227
2.0505050505050506,-142.74274616582045,-143.1539110445044,-143.08209296068736
2.070707070707071,-142.73221302314738,-143.1530286044288,-143.0838570824125
2.090909090909091,-142.72193126833037,-143.15223059636895,-143.0854521875197
2.111111111111111,-142.7119032938232,-143.15150965379215,-143.08690194106313
2.1313131313131315,-142.7021307207227,-143.1508586195669,-143.08820952576386
2.1515151515151514,-142.6926144368711,-143.15027068919403,-143.0893907586756
2.1717171717171717,-142.6833546377773,-143.1497395078763,-143.09039082269555
2.191919191919192,-142.6743508696245,-143.14925922610826,-143.09044594697585
2.212121212121212,-142.66560207366612,-143.14882452424794,-143.09133244379296
2.2323232323232327,-142.65710663135556,-143.14843061121869,-143.0921306175168
2.2525252525252526,-142.64886240961235,-143.1480732055902,-143.09284849769006
2.272727272727273,-142.6408668057005,-143.14774850479742,-143.09348641169913
2.2929292929292933,-142.63311679125326,-143.14631670168808,-143.09408295146113
2.313131313131313,-142.62560895505916,-143.14629203584477,-143.09459189519976
2.3333333333333335,-142.6183395442895,-143.14623433233922,-143.0950573233967
2.353535353535354,-142.6113045039142,-143.14620716222169,-143.0954738379393
2.3737373737373737,-142.6044995141173,-143.14617779084062,-143.04990742416322
2.393939393939394,-142.5979200255802,-143.1461306405107,-143.09617962486075
2.4141414141414144,-142.59156129254885,-143.14603114710394,-143.0964771509832
2.4343434343434343,-142.58541840365413,-143.14602889693842,-143.05801255482086
2.4545454545454546,-142.57948631048188,-143.1459758902785,-143.04634742088928
2.474747474747475,-142.57375985393674,-143.1459223317219,-143.09728010306412
2.494949494949495,-142.56823378845345,-143.14586875265766,-143.09737887007574
2.5151515151515156,-142.56290280414825,-143.1456222725494,-143.04566716576218
2.5353535353535355,-142.55776154700084,-143.14560639233258,-143.09769559612434
2.5555555555555554,-142.55280463718887,-143.14559560283212,-143.0978282600787
2.575757575757576,-142.54802668568314,-143.14549790454325,-143.09794632588796
2.595959595959596,-142.5434223092332,-143.14561367941687,-143.09811282471958
2.6161616161616164,-142.53898614386355,-143.14556697227982,-143.04487065265783
2.6363636363636367,-142.53471285700257,-143.14552204793844,-143.09822781726317
2.6565656565656566,-142.53059715835934,-143.14547897695803,-143.09830170894585
2.676767676767677,-142.52663380966524,-143.1452590703829,-143.09900132115618
2.6969696969696972,-142.5228176333804,-143.14539853341324,-143.09842595104186
2.717171717171717,-142.51914352046586,-143.1452266401435,-143.0984780274543
2.7373737373737375,-142.51560643733018,-143.14527031933412,-143.0986636986809
2.757575757575758,-142.51220146002194,-143.14529205095624,-143.0442252761567
2.7777777777777777,-142.71637651146446,-143.14526020661015,-143.11787884664673
